0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,272,4880,1054,2192,3791,12696,1360,4806,5,1760,273,3060,819,552
15,203,4198,230,1988,2814,10553,573,2623,5,931,269,1286,372,182
14,131,5739,115,1316,4682,14821,848,5519,52,1808,540,2376,681,280
13,467,13142,25,3856,7456,24242,626,9200,20,2647,1396,3555,562,357
12,771,23229,4,7313,13479,37896,2045,14138,59,3991,2663,5615,845,705
11,359,15572,4,6644,8461,29104,5046,14387,220,5131,2720,7229,1312,816
10,191,10028,60,10430,8037,32751,4770,17038,236,6641,728,8384,1492,1023
9,158,8982,887,11189,8632,32963,4414,18013,138,10903,148,6275,1376,1253
8,162,8232,1040,11429,8043,34774,4823,23273,104,12163,34,5762,1936,1345
7,145,7883,868,9924,8105,40089,6184,27392,242,11914,13,6024,1555,1452
6,65,8746,971,8794,10062,40850,5084,28468,277,9083,102,6763,1392,1650
5,46,6197,677,7622,11451,43312,4697,30450,57,8426,25,6058,1046,1661
4,3,0,0,3,426,2151,1518,3688,474,170,11286,13320,4543,4106
3,20,1,0,0,886,2045,1405,4329,178,807,12799,14701,6518,5659
2,21,0,0,3,1127,2698,2009,4797,154,2789,12091,12809,7472,5811
1,9,0,0,2,881,2167,1612,3728,127,2114,9351,9387,5630,4318
0,37,2516,283,3113,4509,18218,1901,12885,26,3676,35,2673,494,812
