0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,0,0,2,0,0,1,51,64,3549,202,592,778,474,310
15,1,0,0,0,0,1,12,22,203,135,441,690,248,141
14,1,1,0,1,1,3,3,39,150,187,879,1266,355,220
13,1,0,1,4,0,11,5,39,131,302,1488,2617,605,286
12,2,1,0,1,0,1,5,24,235,493,2818,3190,593,376
11,1,1,1,1,1,5,33,32,179,819,4940,5457,945,852
10,2,1,0,2,0,10,72,16,275,472,6726,7125,1323,1148
9,0,0,0,2,1,535,124,6,275,719,10907,8871,1842,1559
8,3,1,0,0,18,1106,324,12,347,804,12333,7560,2597,2065
7,2,0,0,1,114,971,1081,839,318,739,12227,8142,3633,3059
6,3,0,0,2,288,1791,1518,3560,433,190,10693,11372,4235,4186
5,9,1,0,0,568,1939,1334,4087,168,844,12494,11706,5822,5123
4,9,0,0,2,771,2786,2032,4690,166,3069,11432,11168,7669,5489
3,8,0,0,2,648,2188,1540,3529,126,2198,8599,8520,5718,4160
2,5,0,0,1,418,1457,1027,2221,80,1323,5693,5581,3619,2681
1,5,0,0,1,440,1281,909,2055,75,1207,5183,5203,3246,2424
0,9,0,0,2,926,2244,1669,3861,133,2190,9683,9556,5733,4396
