0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,333,2791,946,10099,1692,8407,1321,2773,2,1083,227,1963,543,549
15,187,1266,1054,2452,1622,7161,641,2165,1,590,224,1009,310,199
14,401,3571,164,3882,4223,12550,872,4666,5,988,411,1593,599,274
13,266,5078,90,1999,6776,17255,1030,9113,76,2066,773,2775,1089,454
12,815,9932,47,5165,10480,27906,673,12532,25,3343,1503,3922,828,681
11,1242,17713,2,10079,17577,43588,2389,18780,44,5960,2926,6226,1154,1170
10,461,12411,3,7741,10401,30857,5763,17599,125,7877,2842,7240,1742,1292
9,213,7923,82,11951,8742,33187,5163,19538,150,9783,754,7923,1843,1407
8,118,7654,964,12628,8601,32433,4611,19370,45,14688,138,5480,1579,1534
7,142,7041,1080,12290,7898,34901,4947,24581,59,19353,56,4931,2212,1598
6,151,7129,882,10450,7828,40408,6503,28576,218,21002,95,4977,1827,1711
5,80,8370,942,7886,9708,40430,5354,29185,274,15902,114,5626,1610,1973
4,98,5314,682,6604,10798,43149,4774,31021,65,13968,89,4819,1273,1966
3,74,4333,520,5043,8251,32927,3618,23668,49,8326,69,3911,962,1466
2,46,2729,329,3218,5259,20964,2264,14977,31,4644,43,2693,595,931
1,38,2351,287,3179,4592,18221,1936,12987,26,3688,36,2442,497,806
0,62,4252,478,5260,7619,30784,3212,21773,45,6212,60,4517,834,1372
