year,<1300cc,1300cc - 1900cc,>1900cc
2002,12336,6347,2147
2002,19604,12004,3136
2002,19426,15996,3390
2002,20611,24520,4850
2002,17780,29747,5110
2002,21152,37600,6523
2002,24436,40168,7349
2002,33769,52849,6671
2002,42487,60793,7838
2002,36978,67454,10181
2002,52127,77461,9836
2002,74281,103869,12828
2002,40382,76833,12836
2002,31624,70599,12823
2002,6068,1950,1303
2002,4011,1379,702
2002,7358,2829,1090
2002,12336,6347,2147
2002,19604,12004,3136
2002,19426,15996,3390
2002,20611,24520,4850
2002,17780,29747,5110
2002,21152,37600,6523
2002,24436,40168,7349
2002,33769,52849,6671
2002,42487,60793,7838
2002,36978,67454,10181
2002,52127,77461,9836
2002,74281,103869,12828
2002,40382,76833,12836
2002,31624,70599,12823
2002,6068,1950,1303
2002,4011,1379,702
2002,7358,2829,1090
2002,12336,6347,2147
2002,19604,12004,3136
2002,19426,15996,3390
2002,20611,24520,4850
2002,17780,29747,5110
2002,21152,37600,6523
2002,24436,40168,7349
2002,33769,52849,6671
2002,42487,60793,7838
2002,36978,67454,10181
2002,52127,77461,9836
2002,74281,103869,12828
2002,40382,76833,12836
2002,31624,70599,12823
2002,6068,1950,1303
2002,4011,1379,702
2002,7358,2829,1090
2002,12336,6347,2147
2002,19604,12004,3136
2002,19426,15996,3390
2002,20611,24520,4850
2002,17780,29747,5110
2002,21152,37600,6523
2002,24436,40168,7349
2002,33769,52849,6671
2002,42487,60793,7838
2002,36978,67454,10181
2002,52127,77461,9836
2002,74281,103869,12828
2002,40382,76833,12836
2002,31624,70599,12823
2002,6068,1950,1303
2002,4011,1379,702
2002,7358,2829,1090
