0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,2,0,0,0,0,1,19,68,3894,205,587,902,383,262
15,1,1,0,1,1,2,2,27,86,114,481,798,221,148
14,1,0,1,3,0,8,3,28,87,200,917,1817,392,197
13,1,1,0,1,0,1,4,18,155,327,1793,2277,402,280
12,1,1,1,1,1,4,23,25,132,616,3487,4277,680,666
11,2,1,0,2,0,7,60,13,211,373,5010,6026,1041,960
10,0,0,0,2,1,509,112,5,232,604,9226,8259,1605,1416
9,3,1,0,0,16,995,257,11,317,731,10976,7195,2358,1962
8,2,0,0,1,100,767,998,805,310,714,11587,8041,3458,2980
7,3,0,0,2,258,1545,1437,3465,412,183,10593,11283,4119,4041
6,8,1,0,0,516,1718,1402,3984,164,872,12305,11444,5653,5026
5,8,0,0,2,636,2878,1906,4602,168,3250,11691,10978,7479,5404
4,8,0,0,2,592,2138,1557,3600,129,2355,8773,8569,5883,4212
3,6,0,0,1,474,1603,1129,2586,91,1610,6300,6244,4190,3048
2,6,0,0,1,460,1600,1127,2438,88,1451,6250,6126,3972,2942
1,12,0,0,2,1034,3010,2137,4827,175,2834,12178,12223,7623,5694
0,11,0,0,2,1153,2795,2079,4808,164,2727,12062,11901,7139,5475
